match_id,market_type,outcome,p_elo-baseline,p_poisson-goals,p_form-last-10,p_kalshi,v_kalshi,model_max_min
WC26-KOR-CZE-2026-06-11,match_1x2,home,0.388,0.503,0.344,,0,0.159
WC26-KSA-URU-2026-06-15,match_1x2,away,0.736,0.471,0.434,0.64,0,0.302
WC26-KSA-URU-2026-06-15,match_1x2,draw,0.15,0.345,0.301,0.22,0,0.195
WC26-KSA-URU-2026-06-15,match_1x2,home,0.114,0.184,0.265,0.2,0,0.151
WC26-MAR-HAI-2026-06-24,match_1x2,away,0.135,0.221,0.218,,0,0.086
WC26-MAR-HAI-2026-06-24,match_1x2,draw,0.15,0.247,0.276,,0,0.126
WC26-MAR-HAI-2026-06-24,match_1x2,home,0.715,0.532,0.506,,0,0.209
WC26-MAR-HTI-2026-06-24,match_1x2,away,,,,0.78,0,
WC26-MAR-HTI-2026-06-24,match_1x2,draw,,,,,0,
WC26-MAR-HTI-2026-06-24,match_1x2,home,,,,0.75,0,
WC26-MEX-CZE-2026-06-24,match_1x2,away,0.207,0.22,0.336,,0,0.129
WC26-MEX-CZE-2026-06-24,match_1x2,draw,0.15,0.27,0.262,,0,0.12
WC26-MEX-CZE-2026-06-24,match_1x2,home,0.643,0.51,0.402,,0,0.241
WC26-MEX-KOR-2026-06-18,match_1x2,away,0.228,0.309,0.298,0.53,0,0.081
WC26-MEX-KOR-2026-06-18,match_1x2,draw,0.163,0.293,0.278,0.11,0,0.13
WC26-MEX-KOR-2026-06-18,match_1x2,home,0.609,0.399,0.424,0.39,0,0.21
WC26-MEX-RSA-2026-06-11,match_1x2,away,0.078,0.26,0.282,0.14,0,0.204
WC26-MEX-RSA-2026-06-11,match_1x2,draw,0.15,0.323,0.275,0.21,0,0.173
WC26-MEX-RSA-2026-06-11,match_1x2,home,0.772,0.417,0.442,0.65,0,0.355
WC26-NED-JPN-2026-06-14,match_1x2,away,0.314,0.553,0.265,0.32,0,0.288
WC26-NED-JPN-2026-06-14,match_1x2,draw,0.251,0.218,0.228,0.26,0,0.033
WC26-NED-JPN-2026-06-14,match_1x2,home,0.435,0.229,0.507,0.49,0,0.278
WC26-NED-SWE-2026-06-20,match_1x2,away,0.169,0.199,0.142,,0,0.057
WC26-NED-SWE-2026-06-20,match_1x2,draw,0.15,0.185,0.175,,0,0.035
WC26-NED-SWE-2026-06-20,match_1x2,home,0.681,0.617,0.683,,0,0.066
WC26-NOR-FRA-2026-06-26,match_1x2,away,0.608,0.38,0.283,0.5,0,0.325
WC26-NOR-FRA-2026-06-26,match_1x2,draw,0.164,0.232,0.2,0.11,0,0.068
WC26-NOR-FRA-2026-06-26,match_1x2,home,0.228,0.388,0.518,0.15,0,0.29
WC26-NOR-SEN-2026-06-22,match_1x2,away,0.329,0.408,0.222,0.14,0,0.186
WC26-NOR-SEN-2026-06-22,match_1x2,draw,0.271,0.266,0.204,0.61,0,0.067
WC26-NOR-SEN-2026-06-22,match_1x2,home,0.4,0.327,0.574,0.3,0,0.247
WC26-NZL-BEL-2026-06-26,match_1x2,away,0.709,0.288,0.718,0.78,0,0.43
WC26-NZL-BEL-2026-06-26,match_1x2,draw,0.15,0.246,0.162,,0,0.096
WC26-NZL-BEL-2026-06-26,match_1x2,home,0.141,0.465,0.12,0.05,0,0.345
WC26-NZL-EGY-2026-06-21,match_1x2,away,0.508,0.28,0.498,0.8,0,0.228
WC26-NZL-EGY-2026-06-21,match_1x2,draw,0.213,0.298,0.272,0.05,0,0.085
WC26-NZL-EGY-2026-06-21,match_1x2,home,0.279,0.422,0.23,0.65,0,0.192
WC26-PAN-CRO-2026-06-23,match_1x2,away,0.639,0.467,0.539,0.8,0,0.172
WC26-PAN-CRO-2026-06-23,match_1x2,draw,0.15,0.259,0.23,,0,0.109
WC26-PAN-CRO-2026-06-23,match_1x2,home,0.21,0.274,0.231,0.44,0,0.064
WC26-PAN-ENG-2026-06-27,match_1x2,away,,0.616,0.545,0.79,0,0.071
WC26-PAN-ENG-2026-06-27,match_1x2,draw,,0.225,0.25,0.06,0,0.025
WC26-PAN-ENG-2026-06-27,match_1x2,home,,0.16,0.205,0.36,0,0.045
WC26-PAR-AUS-2026-06-25,match_1x2,away,0.318,0.63,0.436,0.06,0,0.312
WC26-PAR-AUS-2026-06-25,match_1x2,draw,0.257,0.253,0.289,,0,0.036
WC26-PAR-AUS-2026-06-25,match_1x2,home,0.424,0.117,0.275,0.75,0,0.307
WC26-POR-COD-2026-06-17,match_1x2,away,0.111,0.199,0.269,,0,0.158
WC26-POR-COD-2026-06-17,match_1x2,draw,0.15,0.294,0.249,,0,0.144
WC26-POR-COD-2026-06-17,match_1x2,home,0.739,0.507,0.482,,0,0.257
WC26-POR-UZB-2026-06-23,match_1x2,away,0.158,0.307,0.283,0.38,0,0.149
WC26-POR-UZB-2026-06-23,match_1x2,draw,0.15,0.29,0.235,,0,0.14
WC26-POR-UZB-2026-06-23,match_1x2,home,0.692,0.404,0.482,0.81,0,0.288
WC26-QAT-SUI-2026-06-13,match_1x2,away,,0.45,0.665,0.78,0,0.215
WC26-QAT-SUI-2026-06-13,match_1x2,draw,,0.231,0.203,0.17,0,0.028
WC26-QAT-SUI-2026-06-13,match_1x2,home,,0.319,0.131,0.1,0,0.188
WC26-RSA-KOR-2026-06-24,match_1x2,away,0.67,0.41,0.387,,0,0.283
WC26-RSA-KOR-2026-06-24,match_1x2,draw,0.15,0.273,0.259,,0,0.123
WC26-RSA-KOR-2026-06-24,match_1x2,home,0.18,0.317,0.354,0.8,0,0.174
WC26-SCO-BRA-2026-06-24,match_1x2,away,,0.585,0.397,0.73,0,0.188
WC26-SCO-BRA-2026-06-24,match_1x2,draw,,0.224,0.252,0.2,0,0.028
WC26-SCO-BRA-2026-06-24,match_1x2,home,,0.191,0.351,0.17,0,0.16
WC26-SCO-MAR-2026-06-19,match_1x2,away,,0.699,0.457,0.8,0,0.242
WC26-SCO-MAR-2026-06-19,match_1x2,draw,,0.198,0.258,0.49,0,0.06
WC26-SCO-MAR-2026-06-19,match_1x2,home,,0.103,0.286,0.78,0,0.183
WC26-SEN-IRQ-2026-06-26,match_1x2,away,0.148,0.213,0.263,,0,0.115
WC26-SEN-IRQ-2026-06-26,match_1x2,draw,0.15,0.308,0.277,,0,0.158
WC26-SEN-IRQ-2026-06-26,match_1x2,home,0.702,0.478,0.46,,0,0.242
WC26-SUI-BIH-2026-06-18,match_1x2,away,,0.209,0.303,,0,0.094
WC26-SUI-BIH-2026-06-18,match_1x2,draw,,0.211,0.239,,0,0.028
WC26-SUI-BIH-2026-06-18,match_1x2,home,,0.58,0.458,,0,0.122
WC26-SUI-CAN-2026-06-24,match_1x2,away,,,,0.61,0,
WC26-SUI-CAN-2026-06-24,match_1x2,draw,,,,0.06,0,
WC26-SUI-CAN-2026-06-24,match_1x2,home,,,,0.69,0,
WC26-SWE-TUN-2026-06-14,match_1x2,away,0.295,0.529,0.455,,0,0.234
WC26-SWE-TUN-2026-06-14,match_1x2,draw,0.23,0.27,0.24,,0,0.04
WC26-SWE-TUN-2026-06-14,match_1x2,home,0.475,0.201,0.304,,0,0.274
WC26-TUN-JPN-2026-06-20,match_1x2,away,0.7,0.454,0.489,,0,0.246
WC26-TUN-JPN-2026-06-20,match_1x2,draw,0.15,0.318,0.253,,0,0.168
WC26-TUN-JPN-2026-06-20,match_1x2,home,0.15,0.228,0.258,,0,0.108
WC26-TUN-JPN-2026-06-21,match_1x2,away,,,,0.78,0,
WC26-TUN-JPN-2026-06-21,match_1x2,draw,,,,,0,
WC26-TUN-JPN-2026-06-21,match_1x2,home,,,,,0,
WC26-TUN-NED-2026-06-25,match_1x2,away,0.737,0.341,0.619,0.48,0,0.396
